Announcement_Date,Effective_Date,Dividend_Type,Dividend_percentage,Remarks,
10-01-2020 , 23-01-2020 , Interim , 500.00 , Rs.5.0000 per share(500%)Third Interim Dividend , 
30-09-2019 , 17-10-2019 , Interim , 500.00 , Rs.5.0000 per share(500%)Second Interim Dividend , 
10-10-2019 , 17-10-2019 , Special , 4000.00 , Rs.40.0000 per share(4000%)Special Dividend , 
28-06-2019 , 16-07-2019 , Interim , 500.00 , Rs.5.0000 per share(500%)Interim Dividend , 
12-04-2019 , 04-06-2019 , Final , 1800.00 , Rs.18.0000 per share(1800%)Final Dividend , 
31-12-2018 , 17-01-2019 , Interim , 400.00 , Rs.4.0000 per share(400%)Third Interim Dividend , 
11-10-2018 , 23-10-2018 , Interim , 400.00 , Rs.4.0000 per share(400%)Second Interim Dividend. , 
29-06-2018 , 17-07-2018 , Interim , 400.00 , Rs.4.0000 per share(400%)Interim Dividend , 
19-04-2018 , 31-05-2018 , Final , 2900.00 , Rs.29.0000 per share(2900%)Final Dividend , 
11-01-2018 , 22-01-2018 , Interim , 700.00 , Rs.7.0000 per share(700%)Third Interim Dividend , 
12-10-2017 , 25-10-2017 , Interim , 700.00 , Rs.7.0000 per share(700%)Second Interim Dividend. , 
13-07-2017 , 24-07-2017 , Interim , 700.00 , Rs.7.0000 per share(700%)Interim , 
24-04-2017 , 13-06-2017 , Final , 2750.00 , Rs.27.5000 per share(2750%)Final Dividend , 
12-01-2017 , 23-01-2017 , Interim , 650.00 , Rs.6.5000 per , 
13-10-2016 , 24-10-2016 , Interim , 650.00 , Rs.6.5000 per share(650%)Second Interim Dividend , 
14-07-2016 , 25-07-2016 , Interim , 650.00 , Rs.6.5000 per share(650%)Interim Dividend , 
18-04-2016 , 06-06-2016 , Final , 2700.00 , Rs.27.0000 per share(2700%)Final Dividend , 
12-01-2016 , 21-01-2016 , Interim , 550.00 , Rs.5.5000 per share(550%)Third Interim Dividend , 
13-10-2015 , 23-10-2015 , Interim , 550.00 , Rs.5.5000 per share(550%)Second Interim Dividend , 
08-07-2015 , 20-07-2015 , Interim , 550.00 , Rs.5.5000 per share(550%)Interim Dividend , 
16-04-2015 , 05-06-2015 , Final , 2400.00 , Rs.24.0000 per share(2400%)Final Dividend , 
15-01-2015 , 27-01-2015 , Interim , 500.00 , Rs.5.0000 per share(500%)Third Interim Dividend , 
16-10-2014 , 29-10-2014 , Interim , 500.00 , Rs.5.0000 per share(500%)Second Interim Dividend , 
16-07-2014 , 28-07-2014 , Interim , 500.00 , Rs.5.0000 per share(500%)Interim Dividend , 
17-07-2014 , 28-07-2014 , Special , 4000.00 , Rs.40.0000 per share(4000%)Special Dividend , 
16-04-2014 , 06-06-2014 , Final , 2000.00 , Rs.20.0000 per share(2000%)Final Dividend , 
